course_id,rating,difficulty,For Credit,Would Take Again,grade,Textbook,text,professor_name,department,Attendance,Online Class,cleaned_text,grade_cleaned,grade_numerical,professor_avg_rating,professor_review_count,professor_rating_std,professor_avg_difficulty,professor_difficulty_std,professor_avg_grade,professor_grade_std,course_avg_rating,course_avg_difficulty,course_avg_grade
PHIL030,5.0,4.0,Yes,Yes,B+,No,Took an intro phil class with Professor Kind and it was decently engaging. The paper prompts were pretty difficult so I wish more time was spent teaching how to write a philosophy paper. Definitely seek her out in office hours (and come with ideas about your paper) as she'll really guide you if you want to consistently write A/A- papers.,Amy Kind ,Philosophy department,Mandatory,,took intro phil class professor kind decently engaging paper prompt pretty difficult wish time spent teaching write philosophy paper definitely seek office hour come idea paper shell really guide want consistently write aa paper,B+,3.3,4.5,3,0.8660254037844386,4.0,0.0,3.6666666666666665,0.3511884584284248,4.111111111111111,3.888888888888889,3.411111111111111
20,3.0,2.0,Yes,,A,Yes,"This class was fun.  It's mandatory, but I enjoyed in class discussions.  ",Charles Lofgren ,Political Science department,Mandatory,,class fun mandatory enjoyed class discussion,A,4.0,3.0,1,0.0,2.0,0.0,4.0,0.0,3.0,2.0,4.0
CHEM014L,4.0,5.0,,,A,Yes,"If you are a student that likes to challenge yourself and you are seeking to master  intro-chemistry, Kojima is a great choice.  He is challenging, but teaches very well and wants to push his students to do their best.  If you put the time and effort into his class, it pays off well.",Robert Kojima ,Chemistry department,Mandatory,,student like challenge seeking master introchemistry kojima great choice challenging teach well want push student best put time effort class pay well,A,4.0,3.75,4,1.8929694486000912,3.0,1.632993161855452,4.0,0.0,3.0,4.666666666666667,3.1333333333333333
ECON120,4.0,3.0,Yes,Yes,A-,Yes,"Prof Raviv made stats interesting and easy to understand. The only issue is that he speaks very quickly, so it would be hard to keep up if you can't watch the recordings of class. Since it was online, exams were open note, which helped a ton. If it wasn't open note, it would be harder but still okay bc you get a formula sheet. A solid choice.",Yaron Raviv ,Economics department,Not Mandatory,Yes,prof raviv made stats interesting easy understand issue speaks quickly would hard keep cant watch recording class since online exam open note helped ton wasnt open note would harder still okay bc get formula sheet solid choice,A-,3.7,4.375,4,0.478713553878169,3.25,0.5,3.75,0.33166247903554014,4.375,3.25,3.75
MATH151,5.0,3.0,Yes,Yes,A,Yes,Professor did an amazing job adapting his class to an online format while classes were forced to be remote because of the pandemic. He even went so far as to build a website for the class that includes the important pieces of material from a textbook that he wrote on probability! I recommend that you take a math class with him before graduating.,Mark Huber ,Mathematics department,Not Mandatory,Yes,professor amazing job adapting class online format class forced remote pandemic even went far build website class includes important piece material textbook wrote probability recommend take math class graduating,A,4.0,3.142857142857143,7,1.5735915849388864,3.857142857142857,0.8997354108424375,3.3428571428571425,0.7913219801006895,4.5,3.5,4.0
FHS10,5.0,1.0,Yes,Yes,A,No,"Honestly, don't worry about all of these reviews. Nita is not that hard and she has a great message that you can leave the class with: colonialism and orientalism colors every part of our society. I learned so much about the world and even though she lectures in tangents, it's an easy class and if you put in the work you will get a good grade.",Nita Kumar ,History department,Not Mandatory,,honestly dont worry review nita hard great message leave class colonialism orientalism color every part society learned much world even though lecture tangent easy class put work get good grade,A,4.0,3.5,3,1.3228756555322954,2.6666666666666665,1.5275252316519468,3.766666666666667,0.4041451884327381,4.458333333333333,3.0,3.7416666666666667
HIST099,3.0,2.0,Yes,Yes,B,,"She only allows hand written notes. You get 3 extra days to turn in essays that you can use at any time which is helpful so you don't have to ask for an extension. Essays are straight forward. Final is either essay, test, or project (you choose which one). Very easy prof.",Lily Geismer ,History department,Mandatory,,allows hand written note get extra day turn essay use time helpful dont ask extension essay straight forward final either essay test project choose one easy prof,B,3.0,4.0,3,1.0,3.0,1.0,3.466666666666667,0.4041451884327381,3.0,2.0,3.0
BIOL131,4.0,2.0,Yes,Yes,A,No,"This class is essentially a Bio MCAT prep course. You cover a ton of material, but not overly in depth. He is kind and helpful. This isn't his choice area and he got stuck teaching it, but he has a respectable goal: he wants you to learn SOMETHING. Exam's are easy. A blessing if you're taking other Keck sci classes w/ incompetent & HARD profs.",Jason Borchert ,Biology department,Mandatory,,class essentially bio mcat prep course cover ton material overly depth kind helpful isnt choice area got stuck teaching respectable goal want learn something exam easy blessing youre taking keck sci class w incompetent hard prof,A,4.0,3.5,2,0.7071067811865476,2.5,0.7071067811865476,4.0,0.0,3.5,2.5,4.0
PPE001,5.0,4.0,Yes,Yes,A,Yes,"Hurley is an amazing professor. His classes are fascinating and he is a great discussion leader and an extremely knowledgeable man. Not only that, but he is also kind, thoughtful, and jovial. Any time spent with Hurley is time well spent.",Paul Hurley ,Philosophy department,Mandatory,,hurley amazing professor class fascinating great discussion leader extremely knowledgeable man also kind thoughtful jovial time spent hurley time well spent,A,4.0,5.0,5,0.0,4.0,0.0,3.88,0.16431676725154962,5.0,4.0,3.88
GOV020,5.0,2.0,Yes,Yes,A,No,"A truly wonderful man. Does not assign any homework, your grade consists of a midterm, final paper, and final test. He will stand up and speak for the entire time but you only need to take notes when you directly ask what is on the test a few days before. Tests are not difficult. Enjoy the class",Ralph Rossum ,Government department,Mandatory,,truly wonderful man assign homework grade consists midterm final paper final test stand speak entire time need take note directly ask test day test difficult enjoy class,A,4.0,3.75,4,1.2583057392117916,2.25,0.9574271077563381,3.75,0.33166247903554,3.6153846153846154,2.8461538461538463,3.776923076923077
PSYCH120,3.5,2.0,Yes,,A,Yes,"I took PSYCH 120 Practicum, a seminar class that works hands on at the Claremont Autism Center. It was much more hands on and no lectures or tests, so I may have had a different experience than other students. However, I found that if you reach out to her and show a genuine interest, she is very invested in your success as a student.",Marjorie Charlop-Christy ,Psychology department,Mandatory,,took psych practicum seminar class work hand claremont autism center much hand lecture test may different experience student however found reach show genuine interest invested success student,A,4.0,4.25,2,1.0606601717798212,2.0,0.0,4.0,0.0,3.5,2.0,4.0
FWS010,4.0,1.0,Yes,Yes,A-,Yes,"Professor Schur's Writing & Experience FWS was one of the more unique classes I have taken. As long as you are active in class and meet the 750 word count each week, you will get an A-. In terms of the feedback I got, I agreed with only some of what he offered. He opened up as the semester went on, and seems to be a really nice guy.",Thomas Schur ,Literature department,Mandatory,Yes,professor schurs writing experience fws one unique class taken long active class meet word count week get term feedback got agreed offered opened semester went seems really nice guy,A-,3.7,4.454545454545454,11,0.6875516509523286,2.272727272727273,1.4206272622267313,3.6636363636363636,0.5296654175472045,4.44,2.92,3.784
PSYC070,5.0,4.0,Yes,Yes,A-,Yes,"Professor Krauss has high expectations, but he is so respected for a reason. His course was comprehensive and his level of academic rigor is impressive, both for class materials and exams. I appreciated his transparency. You will have to study to do well, but he offers an abundance of resources. Get to know this man outside of class.",Daniel Krauss ,Psychology department,Mandatory,,professor krauss high expectation respected reason course comprehensive level academic rigor impressive class material exam appreciated transparency study well offer abundance resource get know man outside class,A-,3.7,5.0,5,0.0,3.4,0.8944271909999159,3.7399999999999998,0.4335896677735759,5.0,4.0,3.7
MATH31,4.5,4.0,,,A+,,"I love Martelli.  He sometimes goes off on tangents in class and laughs uncontrolably at the weirdest things, but he is just too cute.  He puts nothing in front of his students and will spend as much time as you need outside of class to help you.  I would take him again in a heartbeat if i had to take more math",Mario Martelli ,Mathematics department,,,love martelli sometimes go tangent class laugh uncontrolably weirdest thing cute put nothing front student spend much time need outside class help would take heartbeat take math,A+,4.0,4.375,4,0.478713553878169,3.75,0.5,4.0,0.0,3.125,3.25,3.675
CHEM015L,5.0,3.0,Yes,Yes,A-,No,Rinaldi makes sure to explain the basis of every concept and really helped me feel more confident about Chemistry. She's got a great sense of humor and is very relatable. Outstanding chemistry teacher!,Arlie Rinaldi ,Chemistry department,Mandatory,,rinaldi make sure explain basis every concept really helped feel confident chemistry shes got great sense humor relatable outstanding chemistry teacher,A-,3.7,3.0,4,1.8257418583505538,3.0,1.4142135623730951,3.35,0.6027713773341707,5.0,3.0,3.7
ECON102,5.0,4.0,Yes,Yes,A,Yes,"Prof Shelton is the most dedicated, kind, helpful professor at CMC, imo. He's notoriously difficult, but you can handle it if you take good notes and put effort into problem sets. Follow his studying instructions and you'll do well on exams. Great in office hours. His students understand Macro on a whole other level compared to others. Must take.",Cameron Shelton ,Economics department,Mandatory,,prof shelton dedicated kind helpful professor cmc imo he notoriously difficult handle take good note put effort problem set follow studying instruction youll well exam great office hour student understand macro whole level compared others must take,A,4.0,4.5,3,0.8660254037844386,4.333333333333333,0.5773502691896258,2.6666666666666665,1.5275252316519465,3.611111111111111,3.888888888888889,3.2666666666666666
ECON173,4.0,2.0,Yes,Yes,A,No,Prof. Flory really cares about his students and will make time to meet with you outside of class and office hours. He's not the most structured professor so be ready for some flexibility with assignments at random points in the semester.,Jeffrey Flory ,Economics department,Mandatory,,prof flory really care student make time meet outside class office hour he structured professor ready flexibility assignment random point semester,A,4.0,4.0,2,0.0,2.0,0.0,4.0,0.0,4.0,2.0,4.0
MATH030,5.0,2.0,Yes,Yes,A,Yes,Professor Valenza is a great professor. He really cares for his students and knows how to teach Calculus. He constantly stops and makes sure that everyone understands what he is teaching. Tests were very easy and he was very clear about what he expected. He is hilarious and his personality definitely lights up the class on Fridays. Solid professor.,Robert Valenza ,Mathematics department,Not Mandatory,Yes,professor valenza great professor really care student know teach calculus constantly stop make sure everyone understands teaching test easy clear expected hilarious personality definitely light class friday solid professor,A,4.0,4.863636363636363,11,0.3233348953414316,2.4545454545454546,0.6875516509523286,3.972727272727273,0.09045340337332901,4.136363636363637,2.3636363636363638,3.972727272727273
MATH032,5.0,3.0,Yes,Yes,A,Yes,"Prof. Wong is the BEST! She makes me want to major in math. She was always accessible and willing to help outside of class. The exams were difficult but with practice and the notecard you can have, it is manageable. Quizzes were hard. Homework is graded on completion. Very understanding and caring prof. I would 100% recommend her!!!!",Helen Wong ,Mathematics department,Not Mandatory,,prof wong best make want major math always accessible willing help outside class exam difficult practice notecard manageable quiz hard homework graded completion understanding caring prof would recommend,A,4.0,4.25,4,1.5,3.0,0.816496580927726,3.825,0.3500000000000001,3.8333333333333335,2.6666666666666665,3.6166666666666667
FHS010,1.0,4.0,Yes,No,B+,No,"Professor Nadon knows what he's talking about and has strong arguments, but he refuses to compromise or consider points of view other than his own. He is also often rude to students when they do decide to offer their opinion.",Christopher Nadon ,Government department,Mandatory,,professor nadon know he talking strong argument refuse compromise consider point view also often rude student decide offer opinion,B+,3.3,3.7777777777777777,9,1.6414763002993509,3.7777777777777777,0.4409585518440985,3.4000000000000004,0.2449489742783179,3.7045454545454546,3.090909090909091,3.690909090909091
MATH032,4.0,2.0,Yes,Yes,A,No,"Nelson talks super quietly and rushes through the lectures. But don't fret, this is an easy A. You can earn a plethora of extra credit points on the homework and tests, such that you can literally fail the final and still get an A.",Sam Nelson ,Mathematics department,Not Mandatory,,nelson talk super quietly rush lecture dont fret easy earn plethora extra credit point homework test literally fail final still get,A,4.0,3.1363636363636362,11,1.0509735746180562,2.3636363636363638,0.9244162777371755,3.5818181818181816,0.7386720271110607,3.8333333333333335,2.6666666666666665,3.6166666666666667
MATH030,5.0,1.0,Yes,Yes,A,No,"Can be a little challenging if you've never done calc before but if you have, it is an extremely easy A. There is one group project and three midterms, all of which are extremely simple.",Bhaven Mistry ,Mathematics department,Not Mandatory,,little challenging youve never done calc extremely easy one group project three midterm extremely simple,A,4.0,5.0,1,0.0,1.0,0.0,4.0,0.0,4.136363636363637,2.3636363636363638,3.972727272727273
PHIL034,5.0,2.0,Yes,Yes,B+,Yes,Great professor and interesting class. Readings can be a bit long but they are interesting and worth reading. There are reading responses which consist of about 10-12 sentences regarding the reading and they are due the day before your class at 2 pm which can be a bit inconvenient. Other than that great class!,Joseph Frigault ,Philosophy department,Mandatory,,great professor interesting class reading bit long interesting worth reading reading response consist sentence regarding reading due day class pm bit inconvenient great class,B+,3.3,5.0,2,0.0,3.0,1.4142135623730951,3.65,0.4949747468305834,5.0,3.0,3.65
GOVT153,2.0,3.0,Yes,No,A-,Yes,He's definitely very right wing in his politics. Needs to be more impartial fair and balanced. I felt it was manipulative.,Ralph Rossum ,Government department,Mandatory,Yes,he definitely right wing politics need impartial fair balanced felt manipulative,A-,3.7,3.75,4,1.2583057392117916,2.25,0.9574271077563381,3.75,0.33166247903554,2.0,3.0,3.7
PSYC040,5.0,4.0,Yes,,A,No,Professor Umanath is awesome! great lecturer and so much fun to talk to outside of class!,Sharda Umanath ,Psychology department,Mandatory,,professor umanath awesome great lecturer much fun talk outside class,A,4.0,4.75,4,0.4999999999999999,4.25,0.5,3.5,0.5773502691896257,4.666666666666667,4.0,3.3333333333333335
PHIL30,5.0,2.0,Yes,Yes,A,No,"Great professor! Would totally recommend for philosophy GE, especially for science majors/other non-majors. He doesn't give a crazy workload as-is, and he readily grants extensions without penalty. He is really easy to reach outside of class for help, but you probably won't find yourself needing it.",Gregory Antill ,Philosophy department,,,great professor would totally recommend philosophy ge especially science majorsother nonmajors doesnt give crazy workload asis readily grant extension without penalty really easy reach outside class help probably wont find needing,A,4.0,5.0,2,0.0,2.5,0.7071067811865476,3.85,0.21213203435596414,4.8,2.0,3.94
GOV100,1.0,4.0,Yes,No,A,No,I found Professor Courser to be unreasonable. The grading criteria in the class were confusing and it felt like we were constantly held to different standards. The class was a ton of work and very stressful. I would not recommend.,Zachary Courser ,Government department,Mandatory,Yes,found professor courser unreasonable grading criterion class confusing felt like constantly held different standard class ton work stressful would recommend,A,4.0,3.0,3,1.7320508075688772,3.0,1.0,3.9,0.17320508075688756,1.0,4.0,4.0
GOV95,4.0,3.0,,,B+,Yes,"Definitely one of the smartest and most well known (especially in the law community) professors at CMC. Genuinely nice guy, and is much better in office hours. Can't match the connections he has, and his interesting tales about teaching with Scalia",Ralph Rossum ,Government department,Mandatory,,definitely one smartest well known especially law community professor cmc genuinely nice guy much better office hour cant match connection interesting tale teaching scalia,B+,3.3,3.75,4,1.2583057392117916,2.25,0.9574271077563381,3.75,0.33166247903554,4.0,3.0,3.3
FWS010,5.0,3.0,Yes,Yes,A,No,He's a super nice guy and his class is engaging and informative.,Derik Smith ,Literature department,Mandatory,,he super nice guy class engaging informative,A,4.0,4.857142857142857,7,0.37796447300922725,2.7142857142857144,0.7559289460184544,3.957142857142857,0.11338934190276814,4.44,2.92,3.784
ECON134,5.0,2.0,Yes,,A,No,"If you're an Econ Accounting major and are even somewhat interested in Corp Fin, this class is amazing. Its easy to do really well if you pay close attention to the material covered in class, and you end up learning a lot in this class. Professor Binay is really helpful and approachable.",Murat Binay ,Economics department,Mandatory,,youre econ accounting major even somewhat interested corp fin class amazing easy really well pay close attention material covered class end learning lot class professor binay really helpful approachable,A,4.0,4.0,4,2.0,2.75,0.9574271077563382,3.675,0.4716990566028301,4.083333333333333,3.3333333333333335,3.733333333333333
GOV030,5.0,2.0,,,A-,Yes,"Super helpful, and super nice. Very clear in lecture and very helpful when writing papers.",Andrew Sinclair ,Government department,Mandatory,,super helpful super nice clear lecture helpful writing paper,A-,3.7,4.666666666666667,3,0.5773502691896257,3.0,1.0,3.7000000000000006,0.0,5.0,2.0,3.7
ECON50,4.0,5.0,Yes,Yes,B-,Yes,"I really liked his personality + dedication to his students. For example - he knew all of our names almost instantly, even though there were over 50 of us in intro econ. However, I do think the material was way too hard for an intro econ / required GE class. I worked super hard - and received an average grade. Great guy, super hard exams + quizzes.",Ricardo Fernholz ,Economics department,Not Mandatory,,really liked personality dedication student example knew name almost instantly even though u intro econ however think material way hard intro econ required ge class worked super hard received average grade great guy super hard exam quiz,B-,2.7,4.5,2,0.7071067811865476,4.5,0.7071067811865476,3.2,0.7071067811865476,3.642857142857143,4.0,3.057142857142857
FHS10,5.0,1.0,Yes,Yes,A,Yes,"Professor Valenza is amazing. His class changed my life. Sure, there is a bit of reading, but his FHS is like a giant therapy. It really helped me transition into the college life, and I still visit him from time to time.",Robert Valenza ,Mathematics department,Mandatory,,professor valenza amazing class changed life sure bit reading fhs like giant therapy really helped transition college life still visit time time,A,4.0,4.863636363636363,11,0.3233348953414316,2.4545454545454546,0.6875516509523286,3.972727272727273,0.09045340337332901,4.458333333333333,3.0,3.7416666666666667
ECON050,3.0,3.0,Yes,No,B,Yes,"Prof Ozbeklik was Ok but the lectures weren't really interesting. I could not pay attention during lectures, so I ended up skipping lectures and watching them later at 2.0 speed. Homework tests and quizzes are reasonable",Serkan Ozbeklik ,Economics department,Mandatory,Yes,prof ozbeklik ok lecture werent really interesting could pay attention lecture ended skipping lecture watching later speed homework test quiz reasonable,B,3.0,3.0,3,1.0,3.6666666666666665,0.5773502691896258,3.3333333333333335,0.35118845842842467,4.21875,3.3125,3.44375
FWS,5.0,4.0,Yes,,A,Yes,"Take this class if you want to think deeply and become a better reader/writer. The readings for this class were powerful, and I found myself going to office hours very often just to have long conversations with Leland (and to pet Bear, his dog). Leland is REALLY smart and interesting, and his attention to detail is far above that of mere mortals.",Leland De La Durantaye ,Literature department,,,take class want think deeply become better readerwriter reading class powerful found going office hour often long conversation leland pet bear dog leland really smart interesting attention detail far mere mortal,A,4.0,3.875,4,1.3149778198382918,4.0,0.0,3.675,0.6499999999999999,4.0,3.0,3.675
PHIL158,3.0,3.0,Yes,No,A-,No,"Her class doesn't really feel like a philosophy class. She's overly formulaic and she generally expects you to interpret things the same way that she does. She also lets students who are clueless talk too much. Both of these things can make her class boring at times. That said, she's smart and not a bad professor... she just has some weaknesses.",Adrienne Martin ,Philosophy department,Mandatory,,class doesnt really feel like philosophy class shes overly formulaic generally expects interpret thing way also let student clueless talk much thing make class boring time said shes smart bad professor weakness,A-,3.7,3.0,2,0.0,3.5,0.7071067811865476,3.5,0.2828427124746193,3.0,3.5,3.5
LIT10,5.0,2.0,Yes,Yes,A,Yes,"Excellent Prof  I took two courses from him and learned lots, but as often happens, the relationship and care are what I remember most fondly. That said, I did learn a huge amounthe selects cutting-edge texts but it still feels canonical. Cant recommend enough!",James Morrison ,Literature department,Mandatory,,excellent prof took two course learned lot often happens relationship care remember fondly said learn huge amounthe selects cuttingedge text still feel canonical cant recommend enough,A,4.0,4.5625,8,1.2374368670764582,2.75,0.8864052604279183,4.0,0.0,5.0,2.0,4.0
LINEARALGEBRA,4.0,3.0,Yes,,B+,Yes,"Really cool guy for Linear Algebra. I wouldn't recommend him for Calc. He's a young prof who doesn't have much experience, but his courses have gotten better (read: funnier, easier to succeed, more enjoyable classes) every semester he's taught. His lectures are pretty clear, it's hard to get lost during them. ",David Krumm ,Mathematics department,Not Mandatory,,really cool guy linear algebra wouldnt recommend calc he young prof doesnt much experience course gotten better read funnier easier succeed enjoyable class every semester he taught lecture pretty clear hard get lost,B+,3.3,4.0,1,0.0,3.0,0.0,3.3,0.0,4.0,3.0,3.3
BIO43,5.0,4.0,Yes,Yes,A,Yes,"Professor Cohen is extremely dedicated and his course is very challenging. He's friendly, open, and readily available for help at any time. His lectures are engaging and entertaining, while at the same time informative, clear, and accessible. Grading criterion is specific, and grading is very fair.",Joseph Cohen ,Biology department,Mandatory,,professor cohen extremely dedicated course challenging he friendly open readily available help time lecture engaging entertaining time informative clear accessible grading criterion specific grading fair,A,4.0,4.636363636363637,11,0.5518563713009522,3.909090909090909,0.7006490497453707,3.6727272727272724,0.5460602697338621,4.333333333333333,3.5555555555555554,3.6999999999999997
RLST055,5.0,4.0,Yes,Yes,A+,Yes,"Really wonderful person and professor - very easy to contact and talk to during his office hours (he always brings up helpful questions to consider for research projects!) His tests are pretty hard and arduous to study for, and my only critique of his teaching is that I think he tries to cover too much material. Reading semi-required. also RLST163",Gary Gilbert ,Religious Studies department,Not Mandatory,,really wonderful person professor easy contact talk office hour always brings helpful question consider research project test pretty hard arduous study critique teaching think try cover much material reading semirequired also rlst,A+,4.0,4.777777777777778,9,0.44095855184409843,3.2222222222222223,0.6666666666666666,3.8666666666666663,0.1581138830084188,5.0,4.0,3.85
HIST135,5.0,2.0,Yes,Yes,A,No,"Her pseudohistory class is phenomenal considering she only just got her pHD last year. She's good at facilitating discussions and making you think. The class touches a lot on methodology and its real world implications. She awards consistent effort, as there is hw due every week, but they're fairly simple and straightforward. It's easy to get an A.",Chelsea Wang ,History department,Mandatory,,pseudohistory class phenomenal considering got phd last year shes good facilitating discussion making think class touch lot methodology real world implication award consistent effort hw due every week theyre fairly simple straightforward easy get,A,4.0,3.4,5,1.3416407864998738,4.0,1.224744871391589,3.4799999999999995,0.45497252664309307,5.0,2.0,4.0
ECON125,5.0,1.0,Yes,,A,No,"She is very clear and organized. We take lots of notes during the class. But if you can memorize the notes and review the hw, there will be no surprises for you on the exams since everything is from notes and hw. Very nice prof. Easy A. Definitely would take again.",Angela Vossmeyer ,Economics department,,,clear organized take lot note class memorize note review hw surprise exam since everything note hw nice prof easy definitely would take,A,4.0,4.5,9,0.9013878188659974,3.0,1.224744871391589,3.6999999999999997,0.5766281297335399,4.4,2.8,3.6700000000000004
